,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Tot Deaths/1M pop
8,USA,503177,301,18761,14,27314,457102,10917,1520.0,57.0
9,Spain,161852,3579,16353,272,59109,86390,7371,3462.0,350.0
10,Italy,147577,0,18849,0,30455,98273,3497,2441.0,312.0
11,France,124869,0,13197,0,24932,86740,7004,1913.0,202.0
12,Germany,122855,684,2736,0,53913,66206,4895,1466.0,33.0
13,UK,78991,5233,9875,917,344,68772,1559,1164.0,145.0
14,Iran,70029,1837,4357,125,41947,23725,3987,834.0,52.0
15,Turkey,47029,0,1006,0,2423,43600,1667,558.0,12.0
16,Belgium,28018,1351,3346,327,5986,18686,1262,2418.0,289.0
17,Switzerland,24900,349,1003,1,11100,12797,386,2877.0,116.0
18,Netherlands,24413,1316,2643,132,250,21520,1424,1425.0,154.0
19,Canada,22148,0,569,0,6013,15566,557,587.0,15.0
20,Brazil,19943,154,1074,6,173,18696,296,94.0,5.0
21,Portugal,15987,515,470,35,266,15251,233,1568.0,46.0
22,Austria,13782,222,337,18,6604,6841,246,1530.0,37.0
23,Russia,13584,1667,106,12,1045,12433,8,93.0,0.7
24,Israel,10525,117,96,1,1258,9171,180,1216.0,11.0
25,S. Korea,10480,30,211,3,7243,3026,55,204.0,4.0
26,Sweden,10151,466,887,17,381,8883,774,1005.0,88.0
27,Ireland,8089,0,287,0,25,7777,194,1638.0,58.0
28,India,7997,397,249,0,774,6974,0,6.0,0.2
29,Ecuador,7161,0,297,0,368,6496,171,406.0,17.0
30,Chile,6501,0,65,0,1571,4865,70,340.0,3.0
31,Norway,6360,46,114,1,32,6214,67,1173.0,21.0
32,Australia,6303,65,56,2,3265,2982,80,247.0,2.0
33,Poland,6088,133,195,14,375,5518,160,161.0,5.0
34,Japan,6005,0,99,0,762,5144,109,47.0,0.8
35,Denmark,5996,177,260,13,1955,3781,106,1035.0,45.0
36,Romania,5990,523,282,12,758,4950,208,311.0,15.0
37,Peru,5897,0,169,0,1569,4159,130,179.0,5.0
38,Czechia,5735,3,123,4,370,5242,92,536.0,11.0
39,Pakistan,4970,275,77,11,762,4131,50,22.0,0.3
40,Malaysia,4530,184,73,3,1995,2462,72,140.0,2.0
41,Philippines,4428,233,247,26,157,4024,1,40.0,2.0
42,Saudi Arabia,4033,382,52,5,720,3261,57,116.0,1.0
43,Mexico,3844,403,233,39,633,2978,89,30.0,2.0
44,Indonesia,3842,330,327,21,286,3229,0,14.0,1.0
45,UAE,3736,376,20,4,588,3128,1,378.0,2.0
46,Serbia,3380,275,74,3,118,3188,145,387.0,8.0
47,Luxembourg,3223,0,54,0,500,2669,30,5149.0,86.0
48,Panama,2974,0,74,0,17,2883,104,689.0,17.0
49,Finland,2905,136,49,1,300,2556,80,524.0,9.0
50,Qatar,2728,216,6,0,247,2475,37,947.0,2.0
51,Dominican Republic,2620,0,126,0,98,2396,147,242.0,12.0
52,Thailand,2518,45,35,2,1135,1348,61,36.0,0.5
53,Ukraine,2511,308,73,4,79,2359,45,57.0,2.0
54,Colombia,2473,0,80,0,197,2196,85,49.0,2.0
55,Belarus,2226,245,23,4,172,2031,72,236.0,2.0
56,Singapore,2108,0,7,0,492,1609,29,360.0,1.0
57,Greece,2011,0,92,0,269,1650,77,193.0,9.0
58,South Africa,2003,0,24,0,410,1569,7,34.0,0.4
59,Argentina,1975,0,83,1,440,1452,115,44.0,2.0
60,Egypt,1794,0,135,0,384,1275,0,18.0,1.0
61,Algeria,1761,0,256,0,405,1100,46,40.0,6.0
62,Iceland,1689,14,7,0,841,841,11,4950.0,21.0
63,Croatia,1534,39,21,0,323,1190,32,374.0,5.0
64,Morocco,1527,79,110,3,141,1276,1,41.0,3.0
65,Moldova,1438,0,29,0,75,1334,80,356.0,7.0
66,New Zealand,1312,29,4,2,422,886,5,272.0,0.8
67,Hungary,1310,120,85,8,115,1110,17,136.0,9.0
68,Estonia,1304,46,24,0,93,1187,11,983.0,18.0
69,Iraq,1279,0,70,0,550,659,0,32.0,2.0
70,Slovenia,1188,28,50,5,148,990,37,571.0,24.0
71,Kuwait,1154,161,1,0,133,1020,27,270.0,0.2
72,Lithuania,1026,27,23,1,54,949,14,377.0,8.0
73,Bahrain,1016,91,6,0,551,459,3,597.0,4.0
74,Hong Kong,1001,11,4,0,336,661,14,134.0,0.5
75,Azerbaijan,991,0,10,0,159,822,27,98.0,1.0
76,Armenia,967,30,13,1,173,781,30,326.0,4.0
